season,latitude,longitude,count
Winter,-32.0,153.0,26
Winter,-33.0,151.0,9
Spring,-11.0,130.0,1
Spring,-11.0,131.0,1
Spring,-11.0,132.0,6
Spring,-11.0,142.0,34
Spring,-11.0,143.0,6
Spring,-12.0,131.0,716
Spring,-12.0,132.0,2
Spring,-12.0,133.0,95
Spring,-12.0,136.0,24
Spring,-12.0,137.0,22
Spring,-12.0,142.0,2
Spring,-12.0,143.0,4
Spring,-13.0,130.0,6
Spring,-13.0,131.0,170
Spring,-13.0,132.0,13
Spring,-13.0,133.0,109
Spring,-13.0,136.0,10
Spring,-13.0,142.0,26
Spring,-13.0,143.0,73
Spring,-14.0,122.0,3
Spring,-14.0,124.0,13
Spring,-14.0,126.0,2
Spring,-14.0,131.0,64
Spring,-14.0,132.0,227
Spring,-14.0,136.0,1
Spring,-14.0,143.0,4
Spring,-15.0,126.0,4
Spring,-15.0,128.0,1
Spring,-15.0,130.0,4
Spring,-15.0,132.0,63
Spring,-15.0,133.0,51
Spring,-15.0,135.0,8
Spring,-15.0,144.0,54
Spring,-15.0,145.0,7
Spring,-16.0,123.0,3
Spring,-16.0,126.0,3
Spring,-16.0,127.0,5
Spring,-16.0,128.0,22
Spring,-16.0,129.0,46
Spring,-16.0,130.0,29
Spring,-16.0,131.0,35
Spring,-16.0,136.0,3
Spring,-16.0,144.0,1
Spring,-16.0,145.0,32
Spring,-17.0,123.0,8
Spring,-17.0,124.0,10
Spring,-17.0,125.0,32
Spring,-17.0,126.0,8
Spring,-17.0,128.0,5
Spring,-17.0,131.0,1
Spring,-17.0,141.0,24
Spring,-17.0,145.0,386
Spring,-17.0,146.0,606
