scientific,name,count
Pomatostomus ruficeps,Pomatostomus ruficeps,1119
Diomedea antipodensis,Diomedea antipodensis,1111
Menura alberti,Menura alberti,1111
Geophaps scripta,Geophaps scripta,1108
Myiagra ruficollis,Myiagra ruficollis,1099
Pavo cristatus,Pavo cristatus,1098
Ramsayornis fasciatus,Ramsayornis fasciatus,1097
Tanysiptera sylvia,Tanysiptera sylvia,1089
Malurus amabilis,Malurus amabilis,1088
Pterodroma macroptera,Pterodroma macroptera,1080
Eopsaltria griseogularis,Eopsaltria griseogularis,1072
Psophodes cristatus,Psophodes cristatus,1051
Podargus papuensis,Podargus papuensis,1046
Acanthiza inornata,Acanthiza inornata,1028
Apus pacificus,Apus pacificus,1023
Thalassarche bulleri,Thalassarche bulleri,1020
Cinclosoma punctatum,Cinclosoma punctatum,1018
Hylacola cauta,Hylacola cauta,993
Scenopoeetes dentirostris,Scenopoeetes dentirostris,973
Pardalotus rubricatus,Pardalotus rubricatus,967
Gerygone chloronota,Gerygone chloronota,950
Nettapus coromandelianus,Nettapus coromandelianus,939
Pterodroma gouldi,Pterodroma gouldi,938
Pterodroma solandri,Pterodroma solandri,938
Lichenostomus cratitius,Lichenostomus cratitius,936
Epthianura aurifrons,Epthianura aurifrons,931
Arses kaupi,Arses kaupi,925
Onychoprion fuscatus,Onychoprion fuscatus,904
Ardenna grisea,Ardenna grisea,891
Zanda baudinii,Zanda baudinii,889
Rhipidura dryas,Rhipidura dryas,882
Fregata ariel,Fregata ariel,879
Ceyx pusillus,Ceyx pusillus,878
Pycnoptilus floccosus,Pycnoptilus floccosus,874
Hylacola pyrrhopygia,Hylacola pyrrhopygia,862
Malurus pulcherrimus,Malurus pulcherrimus,856
Parvipsitta porphyrocephala,Parvipsitta porphyrocephala,838
Acanthornis magna,Acanthornis magna,835
Sugomel niger,Sugomel niger,827
Nectarinia jugularis,Nectarinia jugularis,816
Anous stolidus,Anous stolidus,811
Orthonyx spaldingii,Orthonyx spaldingii,807
Chlamydera guttata,Chlamydera guttata,804
Cinclosoma castanotum,Cinclosoma castanotum,791
Peneothello pulverulenta,Peneothello pulverulenta,790
Turnix velox,Turnix velox,786
Meliphaga gracilis,Meliphaga gracilis,774
Macronectes halli,Macronectes halli,768
Antigone antigone,Antigone antigone,764
Calamanthus campestris,Calamanthus campestris,757
Origma solitaria,Origma solitaria,756
Eurostopodus mystacalis,Eurostopodus mystacalis,752
Puffinus gavia,Puffinus gavia,750
Eurostopodus argus,Eurostopodus argus,735
Cacatua pastinator,Cacatua pastinator,719
Pardalotus quadragintus,Forty-spotted Pardalote,719
Neopsephotus bourkii,Neopsephotus bourkii,717
Cissomela pectoralis,Cissomela pectoralis,715
Ptilotula plumula,Ptilotula plumula,712
Stercorarius parasiticus,Stercorarius parasiticus,706
Psophodes occidentalis,Psophodes occidentalis,695
Acanthiza katherina,Acanthiza katherina,688
Thalassarche impavida,Thalassarche impavida,688
Pachyptila turtur,Pachyptila turtur,674
Leipoa ocellata,Leipoa ocellata,669
Ninox leucopsis,Ninox leucopsis,653
Emblema pictum,Emblema pictum,645
Rhipidura phasiana,Rhipidura phasiana,645
Ardea sumatrana,Ardea sumatrana,641
Caprimulgus macrurus,Caprimulgus macrurus,633
Anthochaera phrygia,Regent Honeyeater,624
Phaps histrionica,Phaps histrionica,619
Sericornis keri,Sericornis keri,614
Tyto tenebricosa,Tyto tenebricosa,608
Botaurus poiciloptilus,Botaurus poiciloptilus,605
Climacteris melanurus,Climacteris melanurus,600
Grantiella picta,Grantiella picta,599
Chloebia gouldiae,Chloebia gouldiae,592
Dasyornis brachypterus,Dasyornis brachypterus,590
Pitta iris,Pitta iris,590
Cracticus argenteus,Cracticus argenteus,582
Calidris melanotos,Calidris melanotos,581
Platycercus venustus,Platycercus venustus,581
Passer montanus,Passer montanus,578
Poodytes carteri,Poodytes carteri,575
Chalcites osculans,Chalcites osculans,574
Poecilodryas superciliosa,Poecilodryas superciliosa,569
Calidris subminuta,Calidris subminuta,565
Neophema petrophila,Neophema petrophila,520
Climacteris affinis,Climacteris affinis,519
Psephotellus dissimilis,Psephotellus dissimilis,512
Amytornis striatus,Amytornis striatus,506
Procellaria aequinoctialis,Procellaria aequinoctialis,502
Daption capense,Daption capense,500
Eclectus roratus,Eclectus roratus,497
Anous minutus,Anous minutus,487
Fregata minor,Fregata minor,481
Pelecanoides urinatrix,Pelecanoides urinatrix,480
Pachycephala melanura,Pachycephala melanura,475
Parvipsitta pusilla,Parvipsitta pusilla,474
Sterna striata,Sterna striata,469
Pezoporus wallicus,Pezoporus wallicus,463
Pseudobulweria rostrata,Pseudobulweria rostrata,452
Stercorarius pomarinus,Stercorarius pomarinus,448
Tyto novaehollandiae,Tyto novaehollandiae,445
Ptiloris magnificus,Ptiloris magnificus,442
Sterna sumatrana,Sterna sumatrana,420
Calonectris leucomelas,Calonectris leucomelas,419
Coracina maxima,Coracina maxima,415
Prionodura newtoniana,Prionodura newtoniana,412
Psophodes nigrogularis,Psophodes nigrogularis,412
Petrophassa albipennis,Petrophassa albipennis,410
Ninox rufa,Ninox rufa,402
Cinclosoma cinnamomeum,Cinclosoma cinnamomeum,398
Pachycephala lanioides,Pachycephala lanioides,396
Numenius minutus,Numenius minutus,388
Sterna dougallii,Sterna dougallii,385
Pterodroma lessonii,Pterodroma lessonii,384
Garrodia nereis,Garrodia nereis,381
Colluricincla woodwardi,Colluricincla woodwardi,367
Stercorarius antarcticus,Stercorarius antarcticus,363
Xanthotis flaviventer,Xanthotis flaviventer,358
Dasyornis longirostris,Dasyornis longirostris,355
Calidris fuscicollis,Calidris fuscicollis,342
Probosciger aterrimus,Probosciger aterrimus,340
Calidris falcinellus,Calidris falcinellus,339
Poecilodryas cerviniventris,Poecilodryas cerviniventris,338
Dendrocygna guttata,Dendrocygna guttata,335
Anser anser,Anser anser,332
Atrichornis clamosus,Atrichornis clamosus,332
Eulabeornis castaneoventris,Eulabeornis castaneoventris,325
Motacilla tschutschensis,Motacilla tschutschensis,323
Gerygone tenebrosa,Gerygone tenebrosa,322
